TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315980419.0235472,00000000-0000-0000-0000-000000000000,AV,2591.0761567443474,1089.990849310185,PIT
315980419.0235472,00000000-0000-0000-0000-000000020497,OTHERS,2600.589391675056,1094.6304482389232,PIT
315980419.0235472,00000000-0000-0000-0000-000000020944,OTHERS,2575.4243232356907,1079.8383082904768,PIT
315980419.0235472,00000000-0000-0000-0000-000000020861,OTHERS,2577.6430771636888,1076.9550262964788,PIT
315980419.0235472,00000000-0000-0000-0000-000000020857,OTHERS,2608.650056340909,1102.6364325009897,PIT
315980419.0235472,00000000-0000-0000-0000-000000020880,OTHERS,2575.993691367375,1072.3280766768742,PIT
315980419.0235472,00000000-0000-0000-0000-000000020887,OTHERS,2567.0877293948433,1067.9782689751726,PIT
315980419.0235472,00000000-0000-0000-0000-000000020891,OTHERS,2593.6126929735283,1088.43869243282,PIT
315980419.0235472,00000000-0000-0000-0000-000000020939,AGENT,2586.8920756735924,1081.9664567448324,PIT
315980419.0235472,00000000-0000-0000-0000-000000020990,OTHERS,2630.576619587811,1126.1704641402687,PIT
315980419.0235472,00000000-0000-0000-0000-000000020986,OTHERS,2578.6238081926513,1070.1702181356222,PIT
315980419.0235472,00000000-0000-0000-0000-000000020971,OTHERS,2615.534428136525,1109.3866666821232,PIT
315980419.0235472,00000000-0000-0000-0000-000000020984,OTHERS,2573.1909091712296,1060.0993198119427,PIT
315980419.0235472,00000000-0000-0000-0000-000000020959,OTHERS,2607.60907783522,1087.7858534038264,PIT
315980419.12286365,00000000-0000-0000-0000-000000000000,AV,2590.715310734889,1089.655928786945,PIT
315980419.12286365,00000000-0000-0000-0000-000000020497,OTHERS,2600.490753670416,1094.525572153731,PIT
315980419.12286365,00000000-0000-0000-0000-000000020944,OTHERS,2575.320291941061,1079.8149592177715,PIT
315980419.12286365,00000000-0000-0000-0000-000000020861,OTHERS,2577.188406842807,1076.5557918261682,PIT
315980419.12286365,00000000-0000-0000-0000-000000020857,OTHERS,2608.447346208692,1102.4637545206417,PIT
315980419.12286365,00000000-0000-0000-0000-000000020880,OTHERS,2575.369845709641,1071.7999400583433,PIT
315980419.12286365,00000000-0000-0000-0000-000000020887,OTHERS,2566.4339155340645,1067.2555804726917,PIT
315980419.12286365,00000000-0000-0000-0000-000000020891,OTHERS,2593.4145400376224,1088.2697333327685,PIT
315980419.12286365,00000000-0000-0000-0000-000000020939,AGENT,2586.5510789590007,1081.650835933655,PIT
315980419.12286365,00000000-0000-0000-0000-000000020990,OTHERS,2629.69220924241,1125.6477110396092,PIT
315980419.12286365,00000000-0000-0000-0000-000000020991,OTHERS,2564.9356679247394,1053.7091788045489,PIT
315980419.12286365,00000000-0000-0000-0000-000000020986,OTHERS,2579.256065609343,1070.8141931062553,PIT
315980419.12286365,00000000-0000-0000-0000-000000020971,OTHERS,2615.3314149532034,1109.2308034305534,PIT
315980419.12286365,00000000-0000-0000-0000-000000020959,OTHERS,2607.619259122937,1087.788861887289,PIT
315980419.22256494,00000000-0000-0000-0000-000000000000,AV,2590.470290146473,1089.4279519495171,PIT
315980419.22256494,00000000-0000-0000-0000-000000020497,OTHERS,2600.392301286145,1094.424632049476,PIT
